"Année Scolaire","Statut","Écoles","Salles de Classe","Groupes Pédagogiques","Élèves Total","Élèves Filles","% Femmes","Redoublants Total","% Redoublants","Redoublants Filles","Enseignants Total","Enseignants Femmes","Ratio Elève/Enseignant "
"2010-2011","Public",10123,54598,56792,2369471,1066401,,510667,,229106,56792,13737,41.72191505845894
"2010-2011","Privé",1299,9474,8536,315346,151416,,34994,,15089,7469,1755,42.2206453340474
"2010-2011","Communautaire",216,573,1081,19641,8467,,2745,,1189,967,254,20.311271975180972
"2010-2011","Total",11638,64645,66409,2704458,1226284,0.4534305949657935,548406,0.20277852346015357,245384,65228,15746,41.46161157785
"2011-2012","Public",10755,58090,59762,2550742,1157697,,534004,,239007,59372,13725,42.9620359765546
"2011-2012","Privé",1539,10035,9374,357985,171656,,38684,,16823,10213,3345,35.051894644081074
"2011-2012","Communautaire",188,432,469,12064,5082,,1034,,445,431,22,27.990719257540604
"2011-2012","Total",12482,68557,69605,2920791,1334435,0.45687452474346846,573722,0.19642692681537297,256275,70016,17092,41.71605061700183
"2012-2013","Public",10691,58083,59388,2585881,1186849,,569884,,256300,61955,14449,41.73805181179888
"2012-2013","Privé",1679,11051,10688,394082,189130,,37289,,16691,10245,3775,38.465788189360666
"2012-2013","Communautaire",546,1162,1816,41454,17919,,3750,,1630,1491,218,27.802816901408452
"2012-2013","Total",12916,70296,71892,3021417,1393898,0.4613391663580366,610923,0.20219751196210256,274621,73691,18442,41.00116703532317
"2013-2014","Public",11233,60906,62981,2696397,1244960,,564158,,257307,61322,14860,43.97111966341607
"2013-2014","Privé",1838,11826,11791,429237,205890,,33010,,15023,11745,4114,36.54636015325671
"2013-2014","Communautaire",714,1939,2398,51240,22150,,4487,,1896,1636,194,31.320293398533007
"2013-2014","Total",13785,74671,77170,3176874,1473000,0.463663336978426,601655,0.18938585540377112,274226,74703,19168,42.526725834303846
"2014-2015","Public",11869,62344,66842,2840181,1323703,,481336,,219447,65305,17542,43.491019064390166
"2014-2015","Privé",1904,11625,12304,448771,214953,,27278,,12333,12251,4407,36.631377030446494
"2014-2015","Communautaire",1084,2595,3762,81606,35795,,4098,,1740,2599,300,31.39899961523663
"2014-2015","Total",14857,76564,82908,3370558,1574451,0.4671187975403479,512712,0.1521148723742478,233520,80155,22249,42.05050215208034
"2015-2016","Public",12537,68660,70061,3064073,1441211,,428523,,194201,70324,18794,43.570800864569705
"2015-2016","Privé",1962,13032,12693,469204,226721,,25602,,11056,12929,4760,36.29081908886998
"2015-2016","Communautaire",1048,3038,3449,83942,37084,,4028,,1612,1856,297,45.227370689655174
"2015-2016","Total",15547,84730,86203,3617219,1705016,0.4713610096596308,458153,0.1266589056399405,206869,85109,23851,42.50101634374743
"2016-2017","Public",13195,74874,73987,3169303,1503773,,389850,,181947,72748,21122,43.5655000824765
"2016-2017","Privé",2128,13619,13861,522633,253234,,23484,,10612,13795,4941,37.885683218557446
"2016-2017","Communautaire",1001,2477,3548,80200,36079,,3411,,1477,2357,392,34.0263046245227
"2016-2017","Total",16324,90970,91396,3772136,1793086,0.47535030550330104,416745,0.11047984484122524,194036,88900,26455,42.43122609673791
"2017-2018","Public",13784,77261,78387,3255797,1556802,,384637,,179086,76401,23027,42.61458619651575
"2017-2018","Privé",2201,14731,14579,564772,275601,,24929,,12135,14382,5319,39.269364483382006
"2017-2018","Communautaire",972,2775,3832,79653,35985,,3615,,1664,2474,437,32.196038803556995
"2017-2018","Total",16957,94767,96798,3900222,1868388,0.479046577348674,413181,0.10593781584740561,192885,93257,28783,41.82229752190184
"2018-2019","Public",14246,77629,81658,3308667,1594452,,314583,,139202,78196,24466,42.3124840145276
"2018-2019","Privé",2481,15950,16148,625916,306359,,21321,,9292,15905,6021,39.35341087708268
"2018-2019","Communautaire",888,2287,3511,69301,31488,,2078,,879,2154,405,32.173166202414116
"2018-2019","Total",17615,95866,101317,4003884,1932299,0.48260613943860514,337982,0.08441353445804124,149373,96255,30892,41.59663394109397
"2019-2020","Public",14613,78523,85087,3336678,1609430,,351984,,158038,81424,27703,40.97904794655138
"2019-2020","Privé",2806,17618,18220,696078,341800,,23572,,10679,17520,6745,39.730479452054794
"2019-2020","Communautaire",839,2197,3559,68674,30882,,2664,,1127,2141,397,32.07566557683325
"2019-2020","Total",18258,98338,106866,4101430,1982112,0.48327339488909965,378220,0.09221661713109817,169844,101085,34845,40.574071326111685
"2020-2021","Public",14874,79073,86523,3307236,1599829,,315952,,140878,79364,27447,41.67174033566857
"2020-2021","Privé",3137,19274,19934,732515,364071,,22866,,10066,18995,7281,38.56356936035799
"2020-2021","Communautaire",746,2020,3271,63074,28658,,1453,,618,1904,360,33.127100840336134
